Title Cleaned,Ingredients Cleaned,Steps
ayam woku manado,"ayam kampung potong , jeruk nipis , garam , kunyit , bawang merah , bawang putih , cabe merah , cabe rawit merah , kemiri , serai , daun salam , daun kemangi , penyedap , air","1) Cuci bersih ayam dan tiriskan. Lalu peras jeruk nipis (kalo gak ada jeruk nipis bisa pake cuka) dan beri garam. Aduk hingga merata dan diamkan selama 5 menit, biar ayam gak bau amis.
2) Goreng ayam tersebut setengah matang, lalu tiriskan
3) Haluskan bumbu menggunakan blender. Bawang merah, bawang putih, cabe merah, cabe rawit, kemiri dan kunyit. Oh iya kasih minyak sedikit yaa biar bisa di blender. Untuk sereh nya di geprek aja terus di buat simpul.
4) Setelah bumbu di haluskan barulah di tumis. Jangan lupa sereh dan daun salamnya juga ikut di tumis. Di tumis sampai berubah warna ya
5) Masukan ayam yang sudah di goreng setengah matang ke dalam bumbu yang sudah di tumis, dan diamkan 5 menit dulu. Biar bumbu meresap. Lalu tuangkan 1 1/2 Gelas air. Lalu tambahkan penyedap rasa (saya 3 Sdt, tapi sesuai selera ya) koreksi rasa dan Biar kan sampai mendidih
6) Setelah masakan mendidih, lalu masukan daun kemangi yang sudah di potong potong. Masak lagi sekitar 10 menit. And taraaaaaaaaaaaaaa..... jadi deh Ayam Woku Manadonya.
7) Oh iyaa kalo mau di tambahkan potongan tomat merah juga bisa ko. Sesuai selera aja yaa buibuuuu"
ayam goreng tulang lunak,"ayam dipotong , serai , daun jeruk , bawang putih haluskan , biji ketumbar , laos haluskan , kunyit , kemiri , garam , air tuk ukep ayam , minyak goreng","1) Haluskan bumbu2nya (BaPut, ketumbar, kemiri, kunyit, Laos, garam) hingga halus, sisihkan
2) Campur kan bumbu halus tadi dengan ayam yg sudah dicuci bersih dan sudah dipotong didalam panci presto. Uleni sampai tercampur rata.
3) Tambahkan air hingga ayam tenggelam semua. Masukkan serai dan daun jeruk nya kedalam rendaman ayam. Tutup panci presto rebus/ ukep presto sampai kurleb 45 menit. Dengan api sedang.
4) Setelah proses ukep presto selesai, tunggu suhu dingin ruang. Lalu goreng ayam dengan minyak goreng api sedang sampai ayam berwarna kecoklatan.
5) Matang dan sajikan ayam selagi hangat bersama nasi putih, sambal dgn perasan jeruk nipis, lalapan."
ayam cabai kawin,"ayam , cabai hijau , cabai merah rawit , bawang putih , bawang merah , gula , garam , tomat merah , air , minyak goreng","1) Panaskan minyak di dalam wajan. Setelah minyak panas masukkan ayam yang sudah dipotong dadu. Goreng hingga matang. Lalu tiriskan.
2) Haluskan bawang putih, bawang merah, cabai hijau dan merah, tomat.
3) Panaskan minyak didalam wajan. Setelah minyak panas, masukkan bumbu yang sudah halus. Tunggu sampai wangi. Masukkan ayam yang sudah di goreng. Tambahkan air, gula dan garam. Tunggu sampai bumbu meresap di ayam. Sajikan."
ayam geprek,"daging ayam fillet , gula garam , tepung ayam , daun kemangi , kol , timun , minyak panas , sambal korek , cabe rawit merah bawang putih","1) Goreng ayam seperti ayam krispi
2) Ulek semua bahan sambal kemudian campur dengan minyak panas bekas goreng ayam
3) Geprek ayam kemudian campur dengan sambal,sajikan dengan lalapan"
minyak ayam,"kulit ayam & lemaknya , bawang putih , cincang kasar , jahe , geprek , minyak goreng , biji ketumbar","1) Cuci bersih kulit ayam. Sisihkan
2) Ambil 50 ml minyak goreng satu bahan yg sudah disiapkan tadi. Tumis jahe hingga harum.
3) Masukkan kulit ayam, ketumbar dan bawang. Biarkan hingga keluar minyak alaminya sambil diaduk-aduk.
4) Tambahkan sisa minyak goreng. Masak hingga kulit ayam mengering. Angkat dan saring.
5) Setelah cukup dingin minyak ayam tadi dapat disimpan dalam wadah kering seperti mason jar/botol. Kalo saya, saya masukkan juga sedikit bawang putih goreng.
6) Kulit ayam yg sudah digoreng kering tadi bisa dinikmati begitu saja sebagai camilan dengan ditaburi sejumput garam lalu aduk rata."
nasi bakar ayam,"piring nasi , fillet ayam , potong kotak , daun pisang dibersihkan , lidi tusuk gigi mengapit daun , daun salam , serai , memarkan , daun kemangi , cabe merah , tipis , kecap manis , minyak menumis , air , bumbu halus , cabe merah , cabe , bawang merah , bawang putih , kemiri , kunyit , jahe , tomat , gula pasir , blok kaldu ayam pake maggy pake royco , masako , merica takar nya ","1) Tumis bumbu halus, masukkan daun salam, serai
2) Masukkan potongan ayam, kecap dan air, masak hingga air menyusut dan koreksi rasa
3) Masukkan irisan cabe merah dan daun kemangi, aduk sebentar dan matikan api
4) Tata daun pisang, tata nasi di atas daun, beri isian ayam atau bisa juga nasi di campur dan diaduk dulu dengan ayam baru di tata di daun Pisang, bunbu ayam akan lebih meresap k nasi
5) Setelah nasi di bungkus, barulah nasi di bakar, aku bakar pake teflon z br cepet
6) Sajikan selagi hangat endeusss
7) Note: Jangan membakar terlalu lama biar nasi ga kotor dari daun yg di bakar kering"
ayam saus hintalu jaruk,"ayam , hintalu jaruk , cabe merah , cabe hijau , tepung terigu , merica bubuk , bawang putih , jeruk nipis , minyak goreng menumis , gula , garam penyedap","1) Potong ayam menjadi kotak-kotak ukuran sedang cuci bersih kemudian lumuri perasan jeruk nipis, garam dan merica
2) Buat adonan tepung untuk melapisi ayam. Adonan A (Tepung terigu, garam, merica, penyedap dan air es) dan adonan B (Tepung terigu, garam, merica dan penyedap)
3) Masukan daging ayam kedalam adonan A kemudian lapisi dengan adonan B, setelah itu goreng daging kedalam minyak panas sampai berwarna kuning keemasan. Angkat tiriskan
4) Cincang bawang putih,iris seron cabe merah dan cabe hijau. Lumatkan kuning hintalu jaruk aka telur asin dengan air dingin sampai berbentuk pasta
5) Tumis bawang putih dan cabe sampai harum, kemudian tuangkan ayam dan pasta kuning telur.
6) Tambahkan gula, garam, penyedap dan merica secukupnya. Tes rasa dan masal hingga mengental
7) Angkat dan sajikan bersama nasi putih panas. Selamat mencoba"
ayam saos teriyaki lada hitam,"ayam dada tulang , bawang bombai , bawang daun , bawang putih , cabe merah , cabe ijo , bumbu , air , mentega menumis , saos teriyaki , gula pasir , royco ayam , larutan meizena","1) Cara Buat :
1. Sediakan teplon or wajan beri sedikit minyak dan masukan bawang putih dan bawang bombay yang sudah di potong potong tumis sampai harum. Bisa juga sebelum dimasak ayamnya dibalurkan ke saos teriyaki dan diamkan selama 15 menit agar meresap
2) 2. Masukan ayam oseng sampai agak mateng, baru masukan cabe ijo dan merah.
Beri sedikit air
3) 3. Masukan bumbu royco ayan saos teriyaki, gula, dan bubuk lada hitam. Cicipin
4) 4. Setelah mulai mateng masukan daun bawang jika ingin kental bisa masukan larutan meizena yak. Saya tadi gak pake karena tiba tiba amnesia kirain punya tepungnya ternyata udah habis ..
Setelah masak siap disajikan dengan nasi angat."
steak ayam,"dada ayam fillet , air jeruk nipis , garam , terigu , maizena , merica , garam , air , adonan kering , terigu , maizena , merica bubuk , kaldu jamur , garam , minyak goreng , saus jamur , jamur tiram blender , bawang putih cincang halus , keju parut , maizena cairkan dgn air , saus tiram , kecap manis , merica halus , garam & kaldu jamur , air , pelengkap , buncis wortel kukus","1) Cuci bersih ayam, iris tipis melebar, rendam dgn garam dan air jeruk nipis 10 menit, cuci
2) Campur adonan kering, sisihkan
3) Campur adonan basah, sisihkan
4) Panaskan minyak goreng dgn api sedang, gulingkan ayam pada adonan kering, lalu celup ke adonan basah, gulingkan lg pada adonan kering, jgn di remas2, kibas2 daging ayam pada adonan kering, lalu goreng di minyak yg banyak dan panas, biarkan krispinya terbentuk dl, jgn di balik2 dl, setelah cukup kering br di balik, goreng smpe matang, tiriskan
5) Blender jamur tiram kasih air sedikit. tumis bawang putih yg di cincang halus, masukkan jamur yg di blender, masukkan bumbu2 yg lain sampai meresap, lalu tuang maizena yg sdh di cairkan dgn setengah gelas air, aduk2, masukkan keju parut, aduk sampai meletup2, tes rasa, klo sdh sesuai, angkat
6) Tata dlm piring, ayam goreng tepung dan sayur kukus, siram dgn saus jamur, taburi daun bawang atau parsley jk ada."
ayam saos asam manis simple,"ayam dada fillet potong dadu , air jeruk nipis utk baluran , tepung bumbu ayam instan + campur tepung terigu , bawang putih tipis , bawang merah tipis , bawang bombai tipis , tomat haluskan , saos sambal , saos tiram , gula & garam , merica bubuk","1) Lumuri ayam yg sdh dipotong dadu dgn garam & perasan jeruk nipis (diamkan sebentar)
2) Baluri ayam dengan tepung basah, lanjutkan ke tepung kering, diamkan sebentar
3) Goreng ayam yg sdh dbaluri tepung sampai kering & matang, angkat tiriskan.
4) Membuat Saos Asam Manis : -Tumis b.merah & putih (sy suka klo bawang y agak kering)
5) Masukkan bawang bombay, tumis sebentar.
6) Masukkan tomat buah yg sdh dihaluskan tdi, tumis lagi pakai api sedang, tambahkan air secukupnya
7) Masukkan saos sambal, saos tiram, sedikit perasan jeruk nipis, gula, garam & merica (koreksi sampai rasanya terasa asam manis gurih segar)
8) Masukkan ayam yg sdh digoreng tdi kedalam saos asam manis, diamkan sebentar
9) Setelah ayam sdh cukup merasap dengan saos asam manisnya matikan api dan siap disajikan dengan nasi putih hangat"
mie ayam homemade by suami,"mie ayam , tepung terigu , telur , minyak goreng , air , garam , air merebus mie , air , minyak goreng , bumbu halus kuah ayam mie ayam , dada ayam potong kotak jngn , bawang merah , bawang putih , kemiri , lada , ketumbar , jahe , lengkuas , serai , daun jeruk , daun salam , kecap , gula merah , minyak menumis , pelengkap , daun bawang , sawi hijau , bawang goreng me lupa , sambal , cabai rawit merah , garam cepat bau asam , air merebus","1) Kocok telur masukan garam n minyak goreng,aduk rata.masukan tepung terigu uleni pakai tangan sampai kalis(tidak menempel di tangan)diamkan 5 menit.
2) Bagi adonan menjadi beberapa untuk memudahkan menggilasnya nanti,pipihkn pakai tangan lalu giling pakai ketebalan 4 setalah itu giling lg pakai ketebalan 1(ketebelan selera ya kalau saya suka yg tipis),sebelum di giling ke cetakan mie beri taburan terigu di atas adonannya agar tidak menempel,lakukan sampai adonan habis.
3) Bagi mie menjadi beberapa porsi jngn lupa di beri taburan terigu ya agar tidak menempel.
4) Haluskan semua bumbu halus kecuali daun jeruk&salam.
5) Siapkan penggorengan beri minyak untuk menumis bumbu halus,masukan daun jeruk(sobek2)&daun salam,sereh geprek aja,tunggu sampai harum,lalu masukan ayam beri air(banyak boleh karna untuk kuahnya nanti)masukan kecap n gula merah,garam&penyedap test rasa.
6) Untuk sambal rebus cabai merah rawit kira2 5menit.
7) Siapkan panci beri air untuk merebus mie, masukan minyak goreng ke dalam air tujuaan untuk tidak menyatu.setelah mendidih masukan mie tunggu sampai mie naik ke atas barubdi angkat.
8) Siapkan mangkok beri garam n kuah ayam aduk2 mie baru di berikan bahan pelengkap.
9) Mie ayam homemade by suami siap di sajikan"
ayam bakar pedas manis resep nila sari,"ayam broiler jumbo , bumbu , bawang merah , cabe , jahe , kunyit , lada , ketumbar , daun jeruk , daun salam , serai , putih , kecap , gula merah , minyak goreng , royco , garam , santan kara","1) Iris tipis bawang merah dan daun jeruk.
2) Haluskan cabe, bawang putih, lada, ketumbar, jahe dan kunyit.
3) Tumis bawang merah hingga wangi.
4) Masukan bumbu yang telah dihaluskan ke dalam tumisan bawang tumis semua hingga harum.
5) Masukan serai, daun jeruk dan daun salam masak sedikit tuang santan kara dan tambahkan air.
6) Kemudian masukan ayam taburi royco, lada dan garam aduk aduk tutup dan tunggu ayam empuk dan air mulai susut tes rasa.
7) Bakar ayam bisa menggunakan arang, teflon, atau batu bakar (saya memakai grill lebih praktis).
8) Selamat Mencoba."
semur ayam kentang ala mama kirana,"ayam , kentang , bumbu halus , bawang putih , bawang merah , merica , kemiri , pala , cabai merah kriting , suka pedas , jahe , rempah , daun salam , lengkuas , serai , kapulaga , kulit manis , irisan bawang bombai , irisan tomat , garam , kecap manis , penyedap , jeruk nipis ayam","1) Cuci bersih ayam lalu baluri dengan perasan jeruk nipis
2) Cuci lagi ayam dan baluri dengan garam lalu rebus sebentar lalu di goreng
3) Kentang saya goreng bisa di sesuaikan sesuai selera masing²
4) Tips goreng ayam agar hasil nya tdk keras : di goreng hanya sebentar
5) Tumis bawang bombay lalu masukan bumbu halus dan masukkan semua rempah + irisan tomat + kecap manis
6) Setelah bumbu harum masukkan air tunggu gingga mendidih
7) Tambahkan garam + penyedap rasa apabila kurang manis bisa ditambahkan kecap lagi
8) Setelah semua sudah sesuai dgn rasa masukkan kentang goreng + ayam goreng
9) Tunggu kuah hingga menyusut dan kiraa² 5 mnt angkat. Dan terakhir saya taburin bawang goreng bisa disesuaikan jg dgn selera masing². Selesai"
ayam suwir,"ayam suwir direbus goreng , bawang merah , bawang putih , tomat , merica , terasi , cabe rawit , cabe kriting , gula , garam , air , penyedap royco , daun salam , lengkuas","1) Haluskan semua bumbu kecuali tomat, lengkuas, Dan daun salam
2) Siapkan wajan untuk menumis Bumbu, kemudian tuang sedikit minyak Goreng Dan tumis Bumbu yang sudah dihaluskan ditambah daun Salam Dan lengkuas
3) Setelah tercium bau Bumbu yang ditumis kemudian masukkan tomat yang sudah dipotong potong
4) Kemudian setelab tomat layu masukkan air secukupnya Dan rasakan kuahnya kalau belum pas bisa ditambahkan penyedap rasa (Royco)
5) Masukkan ayam yang sudah disuwir Dan aduk
6) Tunggu sampai meresap Dan air berkurang
7) Dan sajikan"
ayam goreng tepung,"fillet ayam , tepung bumbu , telur ayam kocok lepas , garam , minyak goreng","1) Cuci ayam, tiriskan beri perasan jeruk lemon (skip boleh) Potong ayam bentuk dadu.
2) Koco telur beri secukupnya garam. Masukkan ayam yg telah dipotong dadu.
3) Balurkan ke dalam tepung serbaguna.
4) Goreng pada minyak yg panas.
5) Siap disantap"
tulang ayam pedas manis,"tulang ayam bersihkan potong , cabe merah keriting , cabe rawit suka pedas , bawang merah , bawang putih , kunyit , daun salam , daun jeruk , serai , jahe , jeruk nipis , kaldu bubuk , gula pasir , kecap manis , air merebus tulang , minyak menumis","1) Setelah tulang ayam di bersihkan dan di potong potong lumuri tulang dengan perasan jeruk nipis lalu biarkan
2) Siapkan bumbu yg akan di haluskan bwg merah, bwg putih, cabe, dan kunyit blender hingga halus
3) Siapkan air untuk merebus tulang tambahkan jahe yg sudah di geprek dan daun jeruk ungkep tulang hingga air menyusut
4) Tumis bumbu yg sudah di halus kan tambahkan air secukupnya dan daun salam juga sereh geprek, masukan tulang ayam, beri kaldu bubuk, gula pasir dan kecap manis secukupnya jgn lupa test rasanya dan biarkan tulang ayam hingga meresap
5) Setelah tulang ayam kuahnya agak sedikit meresap angkat lalu sajikan
6) Bisa untuk teman makan mie ayam lohh moms"
ayam penyet rumahan,"ayam negri ptng air jeruk nipis , jeruk nipis , bumbu ayam goreng , daun salam , daun jeruk , btng serai geprek , garam penyedap , minyak goreng , sambel penyet , cabe rawit merah , cabe merah , bawang putih , bawang merah goreng , penyedap gula","1) Ungkep ayam bersama bumbu jadi, daun salam, daun jeruk, sere,dan garam,tambah sedikit penyedap apinya kecil ajah ya. Lalu tutup
2) Apabila sudah empuk dan matang goreng dalam minyak panas dan banyak sampe warna kuning kecoklatan, angkat
3) Sementara lagi goreng ayam, kita siapkan sambel dulu, uleg semua cabe, dan bawang merah garam,sedikit gula dan penyedap, setelah agak halus kumpulin sambalnya di tengah cobek lalu siram dengan minyak panas bekas goreng ayam tadi lalu uleg lagi supaya rata
4) Masukan ayam goreng ke dalam cobek lalu penyet pake ulegan, siap di hidangkan
5) Selamat mencoba"
sop ayam,"ayam potong , ceker ayam bersihkan , kentang , wortel , mangkok makaroni rebus , batang daun bawang , batang daun seledri , bumbu dihaluskan , bawang merah , bawang putih , tambahan , lada , garam , penyedap suns pake gula","1) Tumis bawang merah dan bawang putih hingga harum
2) Masukkan potongan ayam dan ceker ke tumisan bumbu aduk rata
3) Pindahkan ke panci besar tanbahkan air secukupkan
4) Didihkan sampai ayam dan ceker cukup matang
5) Masukkan kentang dan wortel yang diiris tadi, tunggu sampai lembut
6) Masukkan macaroni yg sudah direbus
7) Taburkan lada bubuk dan garam, tes rasa
8) Terakhir masukkan daun bawang dan daun seledri
9) Siap dihidangkan, taburkan bawang goreng biar tambah maknyuss"
ayam suwir,"dada ayam , daun jeruk , bawang putih , bawang merah , jahe , kunyit , garam gula , minyak menumis","1) Rebus ayam sampai matang dan di suir suir.
2) Haluskan bawang putih, bawang merah, jahe, dan kunyit.
3) Panaskan minyak tumis bumbu halus, masukkan daun jeruk masak hingga harum tambahkan air secukupnya.
4) Masukkan ayam masak hingga matang."
nugget ayam home made,"ayam fillet ambil dagingnya , wortel , daun bawang prei , bawang putih , bawang merah , merica , tepung tapioka , telur ayam , garam , penyedap , tepung roti tepung panir","1) Cuci bersih ayam. Setelah itu potong kecil2. Masukkan dlm blender. Tambahkan 1 telur ayam, bwg pth, bwg merah, merica. Air sdkt. Lalu blender.
2) Setelah itu parut wortel, ptong kecil2 daun bawang prei
3) Taruh adonan ayam dalam wadah
4) Masukkan wortel, daun prei, tepung tapioka 10 sdm. Kalau pengen lebih padet bisa tambahkan lagi. Sesuai selera
5) Aduk2 ya sampai tercampur rata. Tambah i garam, penyedap.
6) Siapkan wadah. Tuang adonan ke dalam wadah yg sebelumnya d olesi mentega
7) Kukus d panci pengukusan. Kukus 30 - 40 mnt.
8) Setelah matang, keluarkan dr panci. Biarkan dingin. Lalu keluarkan.
9) Siapkan 1 telur (dikocok), tepung panir. Potong2 adonan jd kecil2, celupkan ke telur, lalu baluri dg tepung panir.
10) Setelah itu goreng.Nugget siap d hidangkan. Nugget juga bisa d simpan d dalam freezer ya moms . Jadi sewaktu2 bisa langsung goreng."
ayam koloke,"ayam fillet , potong potong , tepung bumbu larutkan dgn air , tepung terigu , maizena , saus , butter margarin , bawang putih , cincang halus , bawang bombai halus , wortel potong korek api , timun buang biji korek api , btg daun bawang potong , cabe merah serong , cabe rawit serong , saus tomat , saus tiram , minyak wijen , air lemon jeruk nipis cuka masak , air , garam , lada , gula , maizena larutlan dgn air","1) Marinade ayam dgn tepung bumbu serbaguna yg sudah dilarutkan, aduk & disisihkan.
2) Siapkan bahan pelapis. Ambil potongan ayam & balur ke dalam bahan pelapis. Goreng dalam minyak panas sampai matang. Lakukan sampai habis.
3) Bahan saus: lelehkan butter, tumis duo bawang sampai harum. Masukkan wortel dan timun, tambahkan air, lalu masak sampai air mendidih. Masukkan duo cabe, saus tomat, saus tiram, minyak wijen, garam, gula, lada, air lemon, aduk rata. Masukkan larutan maizena, aduk sampai mengental. Terakhir masukkan daun bawang, matikan api supaya sayuran tidak over cook."
mie tulang ayam,"tulang ayam , mie burung dara , bawang putih , bawang merah , cabe rawit , tangkai daun bawang , tangkai seledri , merica bubuk , saos cabe , kecap manis , gula garam , minyak menumis","1) Cuci bersih lalu rebus tulang ayam kurleb 10 menit. Lalu tiriskan
2) Rebus mie sampai setengah matang. Lalu tiriskan
3) Haluskan bawang merah, bawang putih dan cabe rawit
4) Tumis sampai harum bumbu halus dengan irisan seledri dan daun bawang. Lalu tambahkan merica bubuk, gula dan garam.
5) Masukkan tulang ayam, tunggu sampai bumbu meresap.
6) Masukkan mie, saos dan kecap. Lalu tumis sampai bumbu tercampur. Tambahkan gula dan garam jika diperlukan.
7) Mie tulang ayam siap dihidangkan."
ayam suir bali ( bemesere bali ),"dada ayam rebus , minyak goreng , bumbu , cabai merah , tomat , cabe rawit , garam , gula jawa , terasi bakar , perasan jeruk limo , daun jeruk","1) Rebus ayam terlebih dahulu. Lalu, di suwir-suwir. (saya rebus karna kalau goreng, ayamny akan terasa keras dan kering)
2) Ulek halus bumbu, lalu icip2 rasa agar pas
3) Siapkan wajan, masukkan minyak goreng. Tunggu sampai panas, tuangkan bumbu
4) Stelah stengah matang, lalu masukan ayam yang sudah disuir.
5) Tunggu sampai agak meresap bumbuny. Masukkan perasan limo dan daun jeruk
6) Makanan siap dihidangkan. Simple dan enak"
pindang ayam jadul,"ayam , bawang merah halus , cabe rawit halus , jahe , lengkuas , kunyit , asam jawa , terasi bangka panggang , tomat potong , daun kemangi me","1) Tumis semua bumbu kecuali tomat dengan 2 sdm minyak,oseng sampai harum,tambahkan 1 liter air didihkan,kalau sudah mendidih masukkan ayam,tutup, masak sampai ayam matang, setelah ayam matang koreksi rasa,beri taburan tomat dan daun kemangi, sajikan hangat, segerrr abis
2) Selamat mencoba
Semoga bermanfaat untuk semua"
ayam kacang panjang saos hoisin,"daging , paha atas dada ayam , kecap asin , arak beras , tapioka , saos , kacang panjang , bawang putih cincang halus , jahe , saos hoisin , kecap asin , micin , air , larutan tapioka","1) Marinade daging dengan bahannya 30mnt.
2) Sebelum di tumis beri 1sdm minyak di daging ayam, aduk rata, lalu tumis agar tidak lengket di wajan. Matang, lalu angkat.
3) Tumis jahe 10detik, masukkan baput lalu tumis sampai wangi.
4) Masukkan kacang panjang, tumis sebentar lalu masukkan air, saos hoisin, kecap asin, micin. Tutup wajan, kecil kan api.
5) Tunggu 1-2menit, buka tinder tutup wajan, aduk sebentar lalu tutup lg 1-2menit.
6) Masukkan daging, aduk rata.
7) Masukan larutan tapioka agar saos mengental. Aduk rata lalu sajikan"
tongseng ayam,"daging ayam potong , santan kelapa pisahkan kental , daun jeruk , daun salam , lengkuas , serai geprek , cabe rawit hijau , batang daun bawang potong serong , tomat potong , kecap manis , kentang potong , kol tebal , garam , kaldu bubuk , gula pasir , bawang goreng taburan , minyak menumis , bumbu halus , bawang merah , bawang putih , jahe , kunyit , ketumbar , merica , kemiri , cabai merah","1) Siapkan semua bahannya.. panaskan minyak, masukkan bumbu halus.. masak hingga keluar aroma wangi,masukkan daun salam, daun jeruk, serai dan lengkuas.. kemudian masukkan potongan daging ayamnya.
2) Tuangkan santan encer, tunggu hingga daging ayam setengah matang.
3) Masukkan kentang, garam, gula, kaldu bubuk, dan kecap.
4) Masak hingga matang... Masukkan potongan kol dan juga cabai hijau.. lalu d susul dgn memasukkan santan kental, aduk2.. jgn sampai pecah santannya, tes rasa..
5) Setelah mendidih matikan api, masukkan potongan daun bawang dan tomat, lalu beri taburan bawang goreng."
ayam penyet sambel kemangi,"dada ayam , daun kemangi , timun , bumbu racik tempe , sambel , cabe merah , cabe rawit , bamer , bawang putih , gula , garam , tomat merah , terasi , minyak utk , air utk mengungkep ayam","1) Potong ayam sesuai selera,cuxi bersih lalu ungkep dengan sesikit air dan campur dengan bumbu racik tempe,matang angkat
2) Panas kan minyak lalu goreng ayam hingga matang kecoklatan
3) Goreng sebentar semua bahan sambel nya,,uleg jadi satu tambahkan garam gula...tes rasa...kalo sudah oke..masukkan beberapa lmbar daun kemangi..giling agak kasar aja
4) Geprek ayam di atas ulek an,,susun di piring lalu letakkan sambel di atas ayam..susun irisan timun,dan juga kemangi. siap di santap dwngan nasi panas"
nugget ayam wortel,"daging ayam giling , wortel , bawang bombai , bawang putih , batang daun bawang , telur ayam , tepung terigu , tepung roti , garam , lada , penyedap ayam , minyak goreng","1) Potong-potong bawang bombay dan bawang putih. Tumis dengan sedikit minyak hingga harum. Angkat
2) Campurkan tumisan bawang dengan daging ayam giling dengan menggunakan blender atau food processor. Campur hingga bawang halus & tercampur rata. Tuang pada wadah yg telah disediakan untuk dicampur dengan bahan lain
3) Potong wortel jadi bagian yg kecil. Masukkan pada campuran daging giling sebelumnya
4) Potong daun bawang jadi bagian yg kecil. Masukkan pada adonan. Campur hingga rata
5) Masukkan 1 butir telur ayam. Campurkan
6) Masukkan tepung terigu perlahan-lahan dan campur hingga rata. Masukkan garam,lada dan penyedap rasa secukupnya.
7) Panaskan kukusan
8) Letakkan adonan pada cetakan yg telah disediakan. Masukkan pada kukusan yg telah dipanaskan sebelumnya. Tutup kukusan diberi kain agar air tidak menetes diadonan. Kukus kurang lebih 25-30 menit
9) Angkat adonan yg sudah matang dari kukusan. Biarkan agar sedikit dingin.
10) Setelah dingin potong-potong sesuai ukuran yg diinginkan.
11) Kocok lepas 1 butir telur ayam. Celupkan adonan nugget yg telah dipotong tadi kedalam telur. Kemudian gulingkan di tepung roti.
12) Ulangi langkah 11 hingga adonan nugget habis
13) Dinginkan pada freezer kurang lebih 1 jam agar tepung roti menempel dengan sempurna
14) Goreng nugget dengan minyak panas. Nugget ayam wortel siap disajikan.
15) Nugget yg masuk ke dalam freezer dapat bertahan maksimal 3-4 minggu"
ayam goreng pedas gila ala kfc,"ayam , tepung bumbu pedas pke sajiku , air es , minyak goreng","1) Potong"" ayam, lalu cuci sampai bersih.
2) Siapkan 2 mgkok. 1 untuk adonan tepung yang basah yg 1 nya lagi untuk tepung kering.
3) Tuangkan kira"" 2 sdm tepung bumbu lalu tambahkan secukupnya air es kocok pakai garpu sampai adonannya encer.
4) Celupkakan ayam ke dalam adonan basah lalu gulingkan ke dalam tepung kering sambil di remas"" hingga terbentuk kulit tepung yang keriting. Ulangi sampai selesai
5) Panaskan minyak, lalu goreng sampai kecoklatan. Angkat, tiriskan.
6) Ayam goreng siap untuk dinikmati.
7) NB: kalau gk suka terlalu pedas tepung bumbunya bisa di mix sama yang original ya jd yg pedas bisa pke 1 bungkus aj yg 2 bungkus yg original."
chicken teriyaki,"daging ayam memanjang , bawang bombai , memanjang , gula , garan , air , minyak menumis , bumbu perendam , saus teriyaki , saus tiram , kecap manis , minyak wijen , bawang putih , haluskan , jahe , haluskan , merica , kaldu bubuk","1) Campur daging  ayam dengan bumbu perendam,gula dan garam,diamkan dikulkas 1-2jam agar bumbu meresap.
2) Panaskan minyak tumis daging sampai matang tuangi air,masukan bawang bombay,masak sampai air agak menyusut,kentalkan dengan larutan maizena."
ayam kecap pedas jeruk limao,"ayam potong , daun salam , jahe , daun jeruk , buang tulangnya , jeruk limao , air perasn jeruk nipis , garam , merica , gula pasir , kaldu bubuk , kecap manis , air , bawang bombai , bumbu halus , bawang putih , bawang merah , cabe keriting merah , cabe rawit merah","1) Cuci ayam, lalu lumuri dgn perasan air jeruk nipis & garam, diamkan sebentar -+ 10 mnt, lalu bilas sampai bersih
2) Goreng ayam sebentar, tidak usah sampai garing, sisihkan
3) Panaskan minyak, tumis bumbu halus, daun salam, daun jeruk, jahe, sampai harum
4) Masukkan bawang Bombay, masak sebentar
5) Tambahkan air, beri garam, merica, gula pasir, kecap, & masukkan ayam, aduk rata, koreksi rasa
6) Biarkan air surut & bumbu meresap, setelah matang, matikan api, beri perasan jeruk limao, aduk rata, sajikan
7) Enakk  pedes seger"
resep ayam kecap rumahan,"ayam , bumbu haluskan , bawang putih , bawang merah , cabe rawit cabe merah , jahe , lada pala , lengkuas , kemiri","1) Rebus air sampai mendidih lalu masukan ayam dan ungkep sampai empuk
2) Haluskan semua bumbu
3) Panaskan minyak lalu tumis bumbu halus sampai wangi
4) Masukan daun salam 3 lembar dan sereh 2 di geprek
5) Setelah bumbu sudah matang masukkan 1 gelas air
6) Tambahkan garam,micin,royko,asem
7) Setelah di rasa sudah cukup masukan ayam
8) Kecilkan api biar bumbunya meresap.
9) Masak sampai bumbu menyusut (jadi agak kental gitu)
10) Lalu hidangkan"
sop ayam garang asam,"ayam , serai , jahe , cabe rawit merah , bawang putih , bawang merah , tomat hijau , jeruk nipis , daun jeruk , daun bawang , garam , penyedap , air matang","1) Potong dan bersihkan ayam sesuai selera (kalo aku ku beri perasan jeruk nipis lalu diamkan dulu)
2) Bawang2an diiris kasar, serai dan jahe di geprek, cabe aku hanya iris 6pc sisanya aku biarkan utuh, tomat kupotong memanjang begitu juga daun bawang.
3) Panaskan minyak sedikit saja, masukkan bawang serai daun jeruk dan juga cabe diamkan hingga harum lalu masukkan air dan tunggu hingga mendidih. aetelah mendidih masukkan ayam
4) Tunggu ayam hingga setengah empuk bumbui dengan penyedap garam dan juga gula, masukkan perasan jeruk nipis dan tomat aduk hingga merata
5) Setelah koreksi rasa dan dirasa sudah pas dan ayam matang masukkan daun bawang. setelah itu selesai"
