Title Cleaned,Ingredients Cleaned,Steps
chicken bitterbalen,"minyak menumis , daging ayam fillet cincang , bawang putih , sckp bawang bombai , cabai kering bubuk , saus tiram , btg wortel cincang halus , btg daun bawang rajang halus , b , mentega , tepung terigu , susu cair , sckp susu bubuk , peterseli seledri cincang , garam , gula pasir , lada , melumuri bitterbalen , tepung terigu , telur kocok lepas , mangkuk tepung panir","1) Siapkan wajan, panaskan 1sdm minyak. Tumis bawang putih dan bawang bombay hingga harum masukkan daging ayam cincang aduk-aduk hingga ayam berubah warna.
2) Tambahkan cabai bubuk dan saus tiram, aduk.
3) Masukkan wortel dan daun bawang, masak hingga wortel layu, sisihkan.
4) Siapkan panci, masukkan mentega panaskan hingga meleleh kemudian masukkan tepung terigu, aduk hingga tepung tercampur rata. (ini namanya roux)
5) Masukkan sedikit demi sedikit susu cair sambil terus diaduk hingga rata.
6) Masak dengan api kecil hingga adonan mengental, dan tidak berasa tepung (matang)
7) Masukkan peterselly cincang. Aduk hingga keju meleleh.
8) Tambahkan tumisan daging, aduk rata.
9) Masukkan gula, lada, garam. Sesuaikan rasanya.
10) Siapkan bahan pelapis pada wadah terpisah.
11) Ambil adonan, bentuk bulat-bulat untuk menjadi bitterbalen.
12) Guling-gulingkan adonan ke tepung terigu -> kocokan telur -> tepung panir
13) Panaskan minyak, goreng bitterbalen hingga berwarna kuning kecoklata. Angkat, tiriskan.
14) Hidangkan bersama saus sambal/saus mayonaisse
15) NB : Jika adonan terlalu lembek dan sulit dibentuk bisa ditambahkan 1-3 sdm tepung panir / kentang yang sudah ditumbuk."
ayam fillet cabe ijo,"dada fillet , bawang merah , bawang putih , cabe ijo , cabe rawit ijo , ketumbar untk bumbu ungkep , bawang putih untk ungkep , bawang merah untk ungkep , kunyit untk ungkep , garam","1) Cuci bersih dada yg difillet lalu potong dadu
2) Haluskan bumbu ungkep tambahkan garam lalu ungkep potongan dada td hingga airnya habis
3) Sambil menunggu cuci bersih cabe ijo, rawit ijo, dan bawang merah bawang putih. Tumis bahan bahan sambel ijo tsb smpai harum dn matang
4) Setelah harum tumbuk kasar bahan bahan sambel ijo
5) Jika ungkep an ayam sdh mengering, boleh digoreng smpai matang sorti goreng ayam biasa
6) Campurkan potongan dada ayam dg bumbu sambel ijo. Tumis smpai harum, koreksi rasa"
sop ceker ayam sederhana ( enak ),"ceker ayam rebus , wortel , kentang , daun bawang & seledri , bawang merah , bawang putih , tomat merah potong dadu , cengkeh , kayu manis , kapulaga , pala , bunga lawang , merica bubuk , megic ayam , garam & gula , air minyak","1) Tumis bawang sampai wangi.. lalu masukkan air..
2) Masukkan ceker yg sudah direbus sebelumnya, lalu wortel
3) Tambahkan cengkeh, kayu manis, kapulaga, biji pala, bunga lawang, merica bubuk, garam, megic ayam& gula secukupny
4) Aduk sampai rata.. setelah setengah matang masukkan kentang, daun bawang seledri dan tomat.. aduk dan icip..
5) Setelah cukup.. tunggu matang lalu sajikan"
spicy chicken,"bawang bombai , bawang merah , bawang putih , garam , merica , gula , cabai , saos pedas , ayam paha","1) Haluskan cabai, bawang merah, dan bawang putih
2) Iris bawang bombay
3) Goreng ayam hingga matang, sisihkan
4) Tumis bumbu yang sudah halus, masukkan bawang bombay. Tunggu hingga harum
5) Beri garam, gula, saos pedas dan merica sesuai selera
6) Tambahkan ayam yang telah digoreng
7) Beri sedikir air, aduk hingga semua tercampur dan merasuk
8) Koreksi rasa
9) Hidangkan"
opor ayam kagetan,"ayam , kara , masako sapi , salam , daun jeruk , daun salam , cabe rawit utuh , gula pasir , air , bumbu halus , bawang merah , bawang putih , kunyit , jahe , lengkuas , biji ketumbar , lada , jeruk nipis , bawang goreng","1) Cuci ayam sampe bersih lalu rebus dengan air hingga 1/2 matang
2) Haluskan bumbu halus sampe benar-benar tercampur
3) Tumis bumbu halus sampai harum
4) Tambahkan daun jeruk, salam dan sereh kedalam bumbu halus yang sudah harum tadi
5) Tambahkan air secukupnya.
6) Masukan ayam yang sudah direbus 1/2 matang tadi. Dan cabe rawitnya. Biarkan sampai ayam matang
7) Tambahkan gula, masako sapi, dan kara. Aduk rata. Biarkan sebentar sampai meresap dan santam kara matang.
8) Taburi bawang goreng dan Jeruk nipis. Bisa ditambahkan irisan daun seledri.
9) Siap dihidangkan. hmmm... yummy.. suegeer rasanya. pedas pedas asam manis gurih."
ayam tauco,"ayam paha atas potong , tauco , gula merah , garam , gula pasir , kecap manis , tomat hijau , cabe keriting merah , cabe hijau , daun salam , jahe , memarkan , lengkuas , bawang bombai , potong , bawang merah , bawang putih , bumbu dihaluskan , bawang putih , merica lada , kunyit , garam , minyak goreng","1) Cuci bersih daging ayam, boleh dilumur cuka diamkan 15 menit, lalu cuci bersih, lalu lumatkan bumbu halus, kalau saya lebih suka ayamnya di rebus dulu dibuang airnya baru dilumuri bumbu halus. Diamkan selama 15 menit
2) Goreng daging ayam setengah matang
3) Cincang bawang merah, bawang putih, potong cabe merah dan cabe hijau jg tomat
4) Panaskan minyak secukupnya, masukkan bawang merah dan bawang putih tumis sampai harum
5) Masukkan gula merah, gula pasir, dan garam
6) Masukkan daging ayam, tambahkan sedikit air
7) Masukkan tauco dan kecap manis, aduk lalu tambahkan air secukupnya
8) Setelah bumbu mulai meresap, masukkan tomat, cabe dan bawang bombay
9) Jangan lupa icip dulu ya sampe rasanya pas.. Lalu tunggu sampai air agak mengental dan bumbu meresap ke dalam daging ayam dan mataaang
10) Sajikan dengan nasi hangat.. Hhmm endeuuusss"
hati ayam bumbu kecap simpel,"hati ayam , rebus potong kotak , biji kentang , potong kotak goreng , kecap , gula , garam , biji bawang bombai , bawang merah , bawang putih , cabe merah serong , daun jeruk , jahe , lengkuas","1) Tumis bumbu iris sampai harum,masukkan daun jeruk,lengkuas,jahe
2) Masukan hati ayam dan kentang,tambah air
3) Masukkan kecap,gula garam,penyedap rasa kl mau,tes rasa,tunggu hingga air menyusut
4) Siap dihidangkan"
ayam asam manis simpel,"dada ayam buang kulit filet , bawang putih geprek , bawang bombai potong arah memanjang , saos tomat del monte , air putih , gula pasir , kecap inggris , sejumput garam , penyedap pake ngga , pembalur ayam , tepung kobe jenis tepung , telur ayam kocok lepas , marinade ayam , kecap asin , saus tiram , saus wijen , kaldu jamur","1) Masukan filet ayam ke dalam bumbu perendam dan biarkan selama 30 menit
2) Celup ayam ke telur dan balurkan tepung, lakukan sampe semua filet ayam habis lalu goreng hingga matang, sisihkan.
3) Panaskan sedikit minyak goreng utk menumis bawang putih yg sudah di geprek, masukan saos tomat lalu aduk2. Berikan sedikit air, gula, garam, kecap inggris dan aduk kembali sampai agak mengental.
4) Setelah agak kental masukan filet ayam goreng tepung dan bawang bombay, aduk rata lalu angkat dan sajikan. Selamat makan"
kung pao chicken,"ayam , dada ayam potong , kecap asin , tepung maizena , saus banyaknya , saus sambal , kecap manis , minyak wijen , saus tiram , garam , minyak goreng , bawang putih cincang , jahe cincang jahe , paprika merah , cabai merah kering segar , batang daun bawang , kacang tanah mede goreng sangrai","1) Aduk rata ayam dengan kecap asin dan maizena. Sisihkan.
2) Campur semua bahan saus. Sisihkan.
3) Potong-potong dan siapkan bahan lainnya.
4) Panaskan minyak, goreng ayam sampai matang kecoklatan. Angkat.
5) Tumis bawang putih, jahe, cabai dan paprika.
6) Masukan kembali ayam yg sudah digoreng dan saus. Aduk rata.
7) Masukan daun bawang dan kacang. Aduk rata kembali, cek rasa dan angkat.
8) Sajikan hangat."
mercon ( asin cumi pete ayam ),"asin cumi , rendam air es & potong buku , dada ayam difillet & potong dadu , bawang merah , bawang putih , rawit domba , tebal , tomat , potong dadu , papan pete , belah pete cepat matang , gula pasir , kaldu bubuk diganti garam , minyak","1) Goreng cumi dan ayam sampai matang sesuai selera (kalau saya suka yg tidak terlalu kering), sisihkan dipinggir wajan.
2) Tumis bawang merah, bawang putih, tomat sampai wangi, campurkan cumi dan ayam. Masukkan gula & kaldu bubuk/garam. Aduk rata & koreksi rasa.
3) Setelah rasa pas, masukan cabai rawit dan pete. Aduk sampai rata & pete matang. Angkat & sajikan dengan nasi panas."
creamy chicken soup with toast,"dada ayam , wortel , brokoli , kentang , daun bawang seledri , keju cheddar , parut , bawang bombai , memanjang , pala , krimer pake fiber crime , tepung maizena , unsalted butter , garam merica bubuk , utk kaldu , bawang putih , memarkan , jahe , memarka , air , pelengkap , roti tawar , panggang","1) Cuci bersih dada ayam, lalu rebus sebentar selama 10 menit utk membuang kotorannya, buang air rebusannya. Setelah itu rebus kembali utk membuat kaldu bersama dengan bahan membuat kaldu.. masak sampe ayam matang, sisihkan.
2) Potong2 brokoli per kuntum, lalu rendam dengan air garam agar kotorannya keluar.
3) Bersihkan wortel dan kentang, potong dadu. Bersihkan juga daun bawang dan seledri iris halus.
4) Dada ayam yg sdh direbus matang, disuwir2 atau potong dadu, sisihkan.
5) Panaskan unsalted butter, tumis bawang bombai sampe harum, tambahkan garam, merica bubuk, pala bubuk, dan keju parut aduk cepat sampe merata masukan kaldu ayam, didihkan. Jangan lupa disaring ya kaldu ayamnya utk memisahkan ampas dari bahan pembuat kaldu..
6) Setelah mendidih masukan semua sayuran, masak selama 2 menit atau sampe matang tapi tdk lembek. Tes rasa klo dirasa kurang bisa tambahkan bumbu sesuai selera.
7) Larutkan krimer dan tepung maizena dengan sedikit air.
8) Setelah sayur dimasak sampe matang, tambahkan ayam yg sdh disuwir2 atau potong dadu, lalu tambahkan juga larutan krimer dan tepung maizena, aduk cepat sampe agak mengental. Angkat
9) Sajikan selagi hangat bersama dengan roti tawar yg sdh dipanggang.. atau garlic bread"
bihun rebus ayam geprek,"potong ayam crispy makan , kotak bijun jagung , kecap asin , minyak bawang sisa bikin pangsit rebus , vetsin micin , bawang putih , cabai rawit merah , minyak sayur , merica bubuk , garam secukup nya , gula secukup nya","1) Taru bumbu di mangkuk (kecap asin, merica bubuk, vetsin/micin, minyak bawang)
2) Rebus air smp mendidih, masukan bihun jagung masak sampai matang. Tiriskan..
3) Masukan bihun yg sudah matang ke dlm mangkuk berisi bumbu,aduk rata.
4) Ulek bawang putih, cabai rawit, garam + gula+ vetsin (bisa skip)secukup nya.
5) Panas kan 2 sdm minyak goreng sampai benar2 panas, lalu siram kan ke sambal.
6) Taruh ayam crispy di sambal lalu geprek/ulek,aduk sampai sambal tercampur bersama ayam.
7) Sajikan ayam geprek di atas bihun rebus."
nugget ayam simple ala² fiesta,"ayam buang tulangnya , roti tawar buang pinggirnya , tepung beras , bawang putih , wortel , telur , tepung toto , garam , penyedap","1) Kupas wortel, kemudian parut dg parutan keju,
2) Belender jadi satu Ayam, roti tawar, wortel parut, bawang putih, garam, penyedap dg sedikit Air
3) Jika telah halus, tambahkan tepung beras aduk rata kemudian tes rasa.
4) Setelah rasa sesuai dan telah selesai taruh pada Loyang kemudian kukus kurleb 15 menit
5) Setelah matang, biarkan nugget agak dingin, kemudian potong2 sesuai selere
6) Telur kocok lepas, kemudian lumuri nugget yang tlah di potong2 dg kocokan telur, balur dg tepung roti kemudian goreng sampai warna keemasan
7) Dan nugget siap di santap, beri pedamping mayonis atau caos kesukaan anda  hidangkan selagi masih panas dan selamat mencoba"
chicken teriyaki,"dada ayam , daun bawang , bawang bombai , bawang putih , saus teriyaki , kecap asin , kecap manis , lada , garam gula pasir","1) Potong dada ayam kecil2
2) Geprek bawang putih kemudian iris kecil2. Tumis hingga harum.
3) Masukkan ayam tumis sebentar.
4) Masukkan kecap asin, kecap manis, saus teriyaki, garam, gula, lada.
5) Tambahkan air kira2 500ml.
6) Tunggu hingga ayam matang dan kuah menyusut.
7) Setelah ayam matang dan kuah tinggal sedikit masukkan bawang bombay dan daun bawang yang sudah diiris memanjang. Tumis sebentar kemudian angkat.
8) Hidangkan
9) Nb: karena saya suka bawang bombay masih terasa teksturnya, saya masukkan terakhir. Jika suka bawang bombay yang matang bisa masukkan diawal bareng dengan bawang putih.
10) Selamat mencoba"
spaghetti creamy tomat ayam,"bawangbombai cincang , bawang putih geprek cincang , kaldu jamur , tomat potong '' , spaghetti merk orgran , daging ayam cincang , canola oil , sediki ladaputih , bawang putih powder , keju kraft cheddar taburan , susu ultramilk full cream , parsley flakes bole","1) Memasak spaghetti :didihkan air.. Jika sudah mendidih masukan spaghetti beri minyak sedikit.. Jika sudah matang sisihkan dg Cara menyaringnya Dari air
2) Tumis bawang putih Dan bawangbombai hingga harum
3) Masukan ayam Dan tomat..aduk sampai matang
4) Masukan susu beri seasoning garlic powder, Ladaputih, kaldujamur Dan parsley aduk rata
5) Masukan spaghetti aduk"" hingga menyusut
6) Sajikan dengan parutan keju"
